ID,PubchemFP697,PubchemFP362,maxssssC,PubchemFP314,C1SP3,ASP-6,PubchemFP443,nN,piPC8,PubchemFP380,SpMin4_Bhe,GATS7v,PubchemFP824,PubchemFP549,AATS0v,PubchemFP680,SdsCH,AATSC4m,BCUTw-1l,VC-3,Class
1327,1,0,0,0,1,0.0311,1,2,7.1033,0,1.3624,0.9223,1,0,219.2549,1,0,4.7625,11.9933,1.9206,Negative
1329,0,0,0,0,0,0.0521,1,0,5.3773,1,1.1451,1.2639,0,0,202.8816,1,0,5.411,11.9,0.4634,Positive
1331,0,0,0,0,4,0.068,1,0,4.49,1,1.4158,1.056,0,0,217.7901,1,0,-3.5983,11.85,0.25,Positive
1334,0,0,0,0,0,0.0594,1,0,4.7802,1,1.0143,0.8953,0,0,253.7728,1,0,1.0275,11.85,0.25,Positive
1338,0,0,0,0,0,0.0417,1,2,6.9557,0,1.0212,1.0637,0,1,266.8839,0,0,-2.9473,11.9885,0.5157,Negative
1341,0,0,0,0,0,0.0515,1,1,5.2762,0,0.7986,1.0922,0,1,256.4425,0,2.5463,0.5454,11.85,0.2358,Negative
1346,1,0,0,0,0,0.0409,1,0,7.8853,0,1.1641,1.2014,0,0,275.9648,0,0,-2.2287,11.85,0.4855,Negative
1359,0,0,0,0,0,0.0543,1,1,4.9611,0,0.6724,0,0,1,263.7281,0,0,-4.8313,11.85,0.2464,Positive
1364,1,0,0,0,0,0.0409,1,0,6.4667,1,1.0818,0,0,0,310.8712,1,0,-9.1946,11.85,0.4553,Positive
1370,1,0,0,0,1,0.0433,1,2,6.6065,1,1.388,1.0805,0,1,222.8249,1,0,-2.0763,11.85,0.9673,Negative
1381,0,0,0,0,0,0.0508,0,6,3.8067,0,0.7967,0.01,0,0,187.8734,0,0,9.7593,11.9946,0.5162,Positive
1398,1,0,0,0,0,0.0499,1,0,5.7681,1,0.7986,1.0531,0,0,239.7039,1,0,-2.3977,11.85,0.4425,Negative
1404,0,1,0,0,0,0.0673,1,0,3.8408,1,0.4317,0,0,0,301.9785,1,0,19.7751,11.9986,0.4355,Negative
1428,0,0,0,0,0,0.067,1,0,0,1,0.4368,0,0,0,237.5183,1,0,-2.3559,11.85,0.2035,Positive
1430,0,0,0,0,0,0.0752,1,0,0,1,0.4344,0,0,0,238.9268,1,0,-6.0225,11.85,0.129,Positive
